,Rank,Country Code,Country/Territory,Capital,Continent,2023 Population,2022 Population,2021 Population,2020 Population,2015 Population,2010 Population,2000 Population,Area (km²),Density (per km²),Growth Rate (2023),World Population Percentage (2023)
67,118,FIN,Finland,Helsinki,Europe,"5,544,831",5540745,"5,553,102",5529468,5479461,5363271,5176209,338424,16.3722,0.09%,0.07%
68,23,FRA,France,Paris,Europe,"64,730,842",64626628,"65,520,147",64480053,63809769,62444567,58665453,551695,117.1419,0.2%,0.81%
69,184,GUF,French Guiana,Cayenne,South America,,304557,,290969,257026,228453,164351,83534,3.6459,,
70,183,PYF,French Polynesia,Papeete,Oceania,"308,228",306279,"283,392",301920,291787,283788,250927,4167,73.5011,0.85%,0%
71,146,GAB,Gabon,Libreville,Africa,"2,426,913",2388992,"2,310,507",2292573,2028517,1711105,1272935,267668,8.9252,1.99%,0.03%
72,142,GMB,Gambia,Banjul,Africa,"2,759,010",2705992,"2,528,326",2573995,2253133,1937275,1437539,10689,253.1567,2.48%,0.03%
73,131,GEO,Georgia,Tbilisi,Asia,"3,731,500",3744385,"3,973,946",3765912,3771132,3836831,4265172,69700,53.7214,-0.43%,0.05%
74,19,DEU,Germany,Berlin,Europe,"83,302,356",83369843,"83,975,691",83328988,82073226,81325090,81551677,357114,233.4544,-0.09%,1.04%
75,47,GHA,Ghana,Accra,Africa,"33,989,414",33475870,"32,120,718",32180401,28870939,25574719,19665502,238533,140.3406,1.93%,0.43%
76,219,GIB,Gibraltar,Gibraltar,Europe,"32,688",32649,"33,698",32709,32520,31262,27741,6,5441.5,0.12%,0%
77,90,GRC,Greece,Athens,Europe,"10,349,000",10384971,"10,340,571",10512232,10806641,11033783,11038109,131990,78.68,-0.42%,0.13%
78,208,GRL,Greenland,Nuuk,North America,"56,643",56466,"56,877",56026,55895,56351,56184,2166086,0.0261,0.31%,0%
79,193,GRD,Grenada,Saint George's,North America,"126,183",125438,"113,237",123663,118980,114039,107432,344,364.6453,0.59%,0%
80,178,GLP,Guadeloupe,Basse-Terre,North America,,395752,,395642,399089,403072,424067,1628,243.0909,,
